NOM_ETABL,NbreAnnexe,Adresse,Ville,TEL_ETAB,FAX_ETAB,email,Région,Province,Commune
ANNEXE ETAB. EL HANANE,0,6 RUE IBN SAID AL MOGHRABI ORANGERS RT,RABAT,0537720877,,alhananenet@hotmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
NOUJABAE,0,699 Guich Loudaya ,RABAT,037 56 17 81,,noujabae@gmail.com,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
TAHA AL FORKANE,0,n°483 hay Elmenzeh c.y.m rabat,RABAT,0537791209,,tahalforkane483@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
ANNEXE AL ILM WA AL IMANE,0,AMAL6-N°1-HAY EL FATH-CYM-RABAT,RABAT,0537280291,0537290073,alilmwalimane@hotmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
THALES PREPA,0,"34, Rue Mediouna, mabella, rabat.",RABAT,0537758103,0537758148,THALESPREPA@MENARA.MA,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
ANNEXE PAUL VALERY,0,"26 bis Avenue souss,Souissi ",RABAT,0537754504,0537754504,pa_valery@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
KHAWARIZMI,0,,RABAT,,,TTTT@YAHOO.FR,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
INSTITUT LES PONDS DU SAVOIR,0,"182, av DES FAR,DEMNA TAOUNATE",TAOUNATE,0535687836,0535687836,lespontsdusavoir@hotmail.fr,Taza  - Al Hoceima - Taounate,Taounate,Taounate (M)
ESSANAFIR KARIAT BA MOHAMMED,0,KARIAT BA MOHAMMED CENTRE,TAOUNATE,0535628853,,essanafir@yahoo.fr,Taza  - Al Hoceima - Taounate,Taounate,Kariat Ba Mohamed (M)
ECOLE EL OUALIDIA,0,,EL OUALIDIA,011815678,,eloualidia@yahoo.fr,Doukala - Abda,Sidi bennour,Loualidia
                             AL RAYANE,0,96 salouma 2 ain sebaa,CASABLANCA,0522661880,0522661881,ecolealrayane@yahoo.fr,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
NOUR ESSABIL,0, n°8 Lauriers rose cite castor ain sebaa,Casablanca,0522355573,,nour.essabil@live.fr,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
ALAM ALMAAREFA,0,,CASABLANCA,067882757,,a@yahoo.fr,Grand Casablanca,Sidi Bernoussi,Sidi Moumen (AR)
ANNEXE CHEMS,0,HAY ELOUAHADA 1220 OUARZAZATE,OUARZAZATE,061618743,,karimouidder@hotmail.com,Sous - Massa - Draa,Ouarzazate,Ouarzazate (M)
CHEMS,1,"av biranzarane bloc h2 n°103,102 cite de la resistance orzte",OUARZAZATE,024883583,,karimouidder@hotmail.com,Sous - Massa - Draa,Ouarzazate,Ouarzazate (M)
OUCHE AL MALAIKA,0,OUCHE Al MALAIKA,Mohammedia,0523303625,,ouche.almalaika@yahoo.fr,Grand Casablanca,Mohammadia,Mohammadia (M)
Lycéé Mohamed Arsalane,0,Av. Moulay Rachid Vol Fleuri,TANGER,0539312094,0539312090,ziad5268@hotmail.com,Tanger - Tetouan,Tanger Assilah,Tanger_Medina (AR)
IBN TOFAIL(annexe),0,n°9 RUE AHMED SKIREJ,TANGER,0539954059,,ibntofailprive@yahoo.com,Tanger - Tetouan,Tanger Assilah,Charf_Mghogha (AR)
NASSIM COM,0,av. saudi arabie hay menbar n°14,TANGER,0539952634,0539952634,nassime58@hotmail.com,Tanger - Tetouan,Tanger Assilah,Bni Makada (AR)
Bab A l maarifa,0,Lotissement Riad Essalam n° 139,Mohammedia,0523303077,0523303077,babalmaarifa@menara.ma,Grand Casablanca,Mohammadia,Mohammadia (M)
Al Hikma,0,BNI YAKHLEF place 144-145,Mohammedia,0523335858,,alhikma@hotmail.com,Grand Casablanca,Mohammadia,Bni Yakhlef
Poincarré,0,rue ibrahim roudani,Mohammedia,0523321883,0523321883,poincarre@menara.ma,Grand Casablanca,Mohammadia,Mohammadia (M)
Tayba Elite,0,278 bni yakhlef,Mohammedia,0523335932,0523335933,tayba.elite@gmail.com,Grand Casablanca,Mohammadia,Bni Yakhlef
Euclide,0,N°191 lot ALWAHDA,Mohammedia,0523284986,0523286140,,Grand Casablanca,Mohammadia,Mohammadia (M)
ِCollège Bénédict,0,197 Avenue de la résistance(la colline),Mohammedia,0523315084,023321600,g_benedict@hotmail.fr,Grand Casablanca,Mohammadia,Mohammadia (M)
Etablissement el haimer,0, riad essalam AC 29/30 ,Mohammedia,0523282713,,ecole_haimer@hotmail.COM,Grand Casablanca,Mohammadia,Mohammadia (M)
GALILEE,0,"Bd hassan II, la siesta 3 ",Mohammedia,0523304546,0523325275,CONTACT@GALILEE-VIVALDI.NET,Grand Casablanca,Mohammadia,Mohammadia (M)
HIRAA,0,Route zegangane km 4  ihaddadene,Ihaddadene Nador,036607833,,amine.elbadri@gmail.com,l'Oriental,Nador,Ihaddadene
ALMAARIFA WA ATTANOUIR 2,0,lotissement amicale al maghrib al arabi n° 28,TEMARA,0537644708,0534424361,almaarifawatanouir@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
ARRAHMANE,0,Lots arraha N° 32,LAAYOUNE,061064055,,,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
ANNEXE ANNIDAA ATTARBAOUI,0,55 rue Babel Cité Mly Rachid Laayoune,LAAYOUNE,028996069,,T.ANNIDAA @ g mail.com,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
CHAWKI,0,Boulevard  zerkouni n 59,fkih ben salah,0527618044,,ba_alouane93@windowslive.com,Tadla - Azilal,Beni Mellal,Kasba Tadla (M)
ecole almotabara privée,0,"RUE OUED NAFIS,MASSIRA 2",dakhla,0528931950,0528891955,almorabara@yahoo.fr,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
institution el irfane ,0,"av , alwahda",dakhla,0661409678,,elirfane@yahoo.fr,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
EL IBRAHIMI 2,0,N°30-32 BD.MELOUIA OULFA,CASABLANC HAY HASSANI,022.90.21.06,,ELIBRAHIMI2@YAHOO.FR,Grand Casablanca,Hay Hassani,Hay Hassani (AR)
GROUPE SCOLAIRE LAMARTINE,0,BD.MY.THAMI QUARTIER EL MERS MAZOLA HAY HASSANI,CASABLANC HAY HASSANI,0522898916,0522897655,GS.LAMARTINE@LIVE.FR,Grand Casablanca,Hay Hassani,Hay Hassani (AR)
GROUPE SCOLAIRE LA PETITE MAISON,0,"HAY MAZOULA RUE 4,",CASABLANCA HAY HASSANI,,,milade1948@yahoo.fr,Grand Casablanca,Hay Hassani,Hay Hassani (AR)
chorouk,0,lot el amal 1   n 283 tit melil ,tit mellil,0522510265,,ETABLISSEMENT.CHOROUK@GMAIL.COM,Grand Casablanca,Mediouna,Tit Mellil (M)
Marcel Proust,0,avenue mohamed v en face place 3 mars,Ouarzazate,0524885919,,ecolemarcelproust@hotmail.fr,Sous - Massa - Draa,Ouarzazate,Ouarzazate (M)
MASSAR AL ATLAS,1,125 atlas 2 ahadaf Azrou Ifrane,AZROU,0534357865,,massaralatlas@yahoo.fr,Meknès - Tafilalet,Ifrane,Azrou (M)
apostrophe,0,Nice N°107,mohammedia,0523302525,,eco_apostrophe@hotmail.fr,Grand Casablanca,Mohammadia,Mohammadia (M)
Lina Farah,0,61 Rue Alaraar Casablanca,casablanca,022225780,,lina@yahoo.fr,Grand Casablanca,Casablanca Anfa,Sidi Belyout (AR)
Institut privé ennour 2,0,5 boulevard yacoub el mansour - casa,casa hay hassani,0522390750,0522390795,lycee_college_ennour2@yahoo.fr,Grand Casablanca,Hay Hassani,Hay Hassani (AR)
aya,0,hay lapaychat,DAKHLA,028897274,,ALBOUSTANE99@YAHOO.FR,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
aya2,0,,dakhla,,,alboustanee@yahoo.fr,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
almanar,0,hay el massira 3eme tranche n 76rue ettwal amrou,dakhla,0677710081,,almanar@yahoo.fr,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
alghofrane,0,,DAKHLA,,,ALGHOUFRANE@YAHOO.FR,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
IMAM MALIK,0,hay elqassam,DAKHLA,0666145606,,IMAMMALIK@YAHOO.FR,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
ADDIA,0,HAY ESSALAM,DAKHLA,078741706,,ADDIA@YAHOO.FR,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
AZOUHOR,0,hay essalam,DAKHLA,0528930094,0,AZOUHOR@YAHOO.FR,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
ALJAWAHIR,0,,akhla,,,aljawahir@yahoo.fr,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
bissmi lah,0,al massira1n 8 dakhla,dakhla,0666017418,,bissmilah@yahoo.fr,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
elhanane,0,,dakhla,0678745229,,elhananae@yahoo.fr,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
kouttab elqods,0,,akhla,,,kouttabelqods@yahoo.fr,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
almaali,0,,dakhla,,,almaali@yahoo.fr,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
ennassim,0,hay el hassani ,dakhla,0667382399,,ennassim@yahoo.fr,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
almaarifa,0,,dakhla,,,almaarifa@yahoo.fr,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
errahma,0,hay errahma,dakhla,,,sofia_aznar@hotmail.fr,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
elminbar saghir,0,,dakhl,,,elminbar-ssaghir@yahoo.fr,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
AALAME EL MAARIF,0,,GUERCIF,0535675088,0535675088,almaarif@yahoo.fr,Taza  - Al Hoceima - Taounate,Guercif,Guercif (M)
Point virgule,0,4 BD DRISS SLAOUI LOTISSement AL MANAR,casablanca ,0522362426,0522362434,pointvirgule@menara.ma,Grand Casablanca,Casablanca Anfa,Anfa (AR)
RAWD AL AZHAR,0,"Boulevard Yacoub El Mansour, Résidence Albaida",casablanca,0522252985,0522981286,jardinenfant@menara.ma,Grand Casablanca,Casablanca Anfa,El Maarif (AR)
jannat al atfal,0,149 al mansoor,meknes,0662083002,,jannat@yahoo.fr,Meknès - Tafilalet,Meknes,Al Ismailia (M)
groupe scolaire la seconde maison,0,ROUTE  1100 SIDI MAAROUF casablanca,CASABLANCA,0522335434,0522975320,la.secondemaison@yahoo.fr,Grand Casablanca,Ain Chok,Ain Chock (AR)
el ghadir,0,hay el manar zone 2 rue mohammed ben el hassan louazani . n°74 el jadida ,El Jadida,0523390312,,elghadir@hotmail.fr,Doukala - Abda,El Jadida,El Jadida (M)
JISRE ATTAFAOUK,0,lotissement al wiam 2 ouled frej,ouled frej,0523364695,,SADA_medo@hotmail.com,Doukala - Abda,El Jadida,Ouled Frej
ILE MONTEREAL,0,Rue J n°35,EL JADIDA,0523373794,,HOTM@ser.com,Doukala - Abda,El Jadida,El Jadida (M)
NID DES ANGES,0,,EL JADIDA,,,MOUSTAF@hotmail.fm,Doukala - Abda,El Jadida,El Jadida (M)
GROUPE SCOLAIRE SAYL prive,0,Hay Rahma;rue11; N° 350 Moulay Rchid,Casablanca,0526777131,,sayl1@hotmail.fr,Grand Casablanca,Moulay R'chid_Sidi Otmane,Moulay Rachid (AR)
GROUPE SCOLAIRE PRIVE ARRIHAB,0,bd.idriss el harti n° 24 hay my rachid (1)  ,Casablanca,0522700555,,arrihabcsool@gmail.com,Grand Casablanca,Moulay R'chid_Sidi Otmane,Moulay Rachid (AR)
Le village,0,village rue essaoudia lotissement 276 dar bouazza,casablanca,0522965917,0522965917,anissa_682@hotmail.com,Grand Casablanca,Nouaceur,Dar Bouazza (M)
TAMARIS,0,tamaris 1 dar bouazza,casablanca,0522330991,0522330992,tamarisprivee@yahoo.fr,Grand Casablanca,Nouaceur,Dar Bouazza (M)
AL MECHKAT 2,0,n°44 hay el mohammadi rue A 226,OUJDA,0536520287,,BERIYAH@yahoo.fr,l'Oriental,Oujda Angad,Oujda (M)
ANAS BNOU MALIK,0,lot juillet n°58 hay el qods,OUJDA,0536504273,,ANAS_BNOU_MALIK@yahoo.fr,l'Oriental,Oujda Angad,Oujda (M)
NOUR ZAHRA,0,bd yaacoub el mansour lot el falaki n°4,OUJDA,0615307888,,NOUR_ZAHRA@yahoo.fr,l'Oriental,Oujda Angad,Oujda (M)
AYDA BNO EL BAYTAR,0,angle bd mohammed ben lakhdar et rue mouha ohmou,OUJDA,0661339785,,AYDABNO_ELBAYTAR@yahoo.fr,l'Oriental,Oujda Angad,Oujda (M)
DAR ESSABIL 2,0,hay el baladi n°60 lazaret,OUJDA,0536747598,,DAR_ESSABIL2@YAHOO.FR,l'Oriental,Oujda Angad,Oujda (M)
EL MIR,0,hay moulay el miloud lazaret,OUJDA,0536748888,,GROUPE_SCOLAIRE_EL_MIR@yahoo.fr,l'Oriental,Oujda Angad,Oujda (M)
BARAIM EL ANDALOUS,0,bd moulay abdelah,BENI DRAR,0536707496,,BARAIM_EL_ANDALOUS@yahoo.fr,l'Oriental,Oujda Angad,Bni Drar (M)
AL HASSIF,0,ancien quartier,BNI DRAR,0536650928,,AL_HASSIF@yahoo.fr,l'Oriental,Oujda Angad,Bni Drar (M)
AL BADIL ATTARBOUI 2,0,lot elwahda moad ibn jabal,OUJDA,036-52-41-11,,AL_BADI_ATTARBOUI2@yahoo.fr,l'Oriental,Oujda Angad,Oujda (M)
 HADIKAT AL IRFANE 2,0,,OUJDA,0536744807,,HADIKAT_AL_IRFANE@yahoo.fr,l'Oriental,Oujda Angad,Oujda (M)
Annexe ARRACHAD,0,163 hay essalame,BEN GUERIR,0524316673,,delegelkalaa@yahoo.fr,Marrakech - Tensift - Al Haouz,Rehamna,Ben Guerir (M)
Groupe scolaire la capitale,0,,tiflet,0537520602,,ssqs@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Khemisset,Aît ali oulahcen
LES CRETES,0,,CASABLANCA,,,mounir7@gmail.com,Grand Casablanca,Al fida_Mers Sultan,Al Fida (AR)
ryad al maarifa,0,RUE TAWFIK EL HAKIM ,khemisset,0527555563,0537555563,ecole.ryad almaarifa@menara.ma,Rabat - Salé - Zemmour - Zaer,Khemisset,Khemisset (M)
ENNASSIM ASSAID,0,Hay El Amal 2 N° 15 Ain Harrouda,MOHAMMEDIA,0522332666,,khadijatarriki@yahoo.fr,Grand Casablanca,Mohammadia,Ain Harrouda (M)
Groupe Scolaire JULES FERRY Privé,0,cartier alfajer julee ferry,MOHAMMEDIA,0523310021,0523310023,gsjulesferry@menara.ma,Grand Casablanca,Mohammadia,Mohammadia (M)
MASALIK AL IRFANE,0,lotissement massira n°89,MOHAMMEDIA,0523314140,,xxx@yahoo.fr,Grand Casablanca,Mohammadia,Mohammadia (M)
ALAM AL MAARIFA,0,96 hay dakhla El alia,MOHAMMEDIA,0523315288,052330406,xxxx@yahoo.fr,Grand Casablanca,Mohammadia,Mohammadia (M)
g/s konouz FES,0,blv moulay abdellah route Imouzzer,fes,0535603121,0635603122,Contacte@gskep.ma,Fès - Boulmane,Fès,Saiss (AR)
AFAQ AL JIL ASSAID,0,Hay al qods i 306 ain taoujdate el hajeb,EL HAJEB,0535441634,,afaqaljilassaid17@yahoo.com,Meknès - Tafilalet,El Hajeb,Ain Taoujdate (M)
Cercle des sciences,0,,Taounate,0534760690,,aaaa@aa.aa,Taza  - Al Hoceima - Taounate,Taounate,Taounate (M)
ARRIAYA ALKHASSA,0,,MEKNES,,,AA@YAHOO.FR,Meknès - Tafilalet,Meknes,Al Ismailia (M)
ATTAFAOUK,0,LOT. JAWHARA RUE 19 N° 24 SIDI MOUMEN,CASABLANCA,0522722254,0522722244,attafaouk@gmail.com,Grand Casablanca,Sidi Bernoussi,Sidi Moumen (AR)
Classes prepa Ibn ghazi El Fassi sarl,0,"40 Rue Houssine slaoui, Hay badr.  ",fes,0535602327,0535602327,Ibnghazifes@gmail.com,Fès - Boulmane,Fès,Agdal (AR)
kari inchtayn galili,0,HAY ENOUZHA KM2 RT AIN CHKEF,fes,0535607274,,fes.etab@yahoo.fr,Fès - Boulmane,Fès,Saiss (AR)
technologia,0,LOTISSEMENT QUARAOUIYINE ROUTE AIN CHKEF,fes,0535610320,0535601873,INFO@TECHNOLOGIA.MA,Fès - Boulmane,Fès,Saiss (AR)
AL IKHWA,0,kM1 ROUTE AIN CHKEF  ,fes,0535602807,,FES.ETAB@YAHOO.FR,Fès - Boulmane,Fès,Agdal (AR)
orchid,0,77/78 hay salam ahadaf ,azrou,0535564646,,ORCHID_azrou@hotmail.com,Meknès - Tafilalet,Ifrane,Azrou (M)
a-chamail,0,,taoujtate,,,a-chamail@yahoo.fr,Meknès - Tafilalet,El Hajeb,Ain Taoujdate (M)
malik ibn anass,0,centre drarga  commune drarga,agadir banlieue,0526776596,,malikibnanass@hotmail.com,Sous - Massa - Draa,Agadir Ida Outanane,Drargua
galois,0,n°72 RUE 11 JANVIER CIT2 DAKHLA-AGADIR,agadir ,0528237475,0528237475,ecolegalois@yahoo.fr,Sous - Massa - Draa,Agadir Ida Outanane,Agadir (M)
institution atfalouna,0,,el hajeb,06193191,,bonatout@hotmail.com,Meknès - Tafilalet,El Hajeb,Agourai (M)
IHSsANE,0,37 LoTissement elhana qleaa 80150 ,LQLIAA,0528311863,*********,ECOIHSSANE@GMAIL.com,Sous - Massa - Draa,Inzegane Ait Melloul,Lqliaa
BARDOUZ,0,tafardout tamssia,TEMSIA,0664046432,0528379699,IDELEG@YAHOO.FR,Sous - Massa - Draa,Inzegane Ait Melloul,Temsia
ACHAHROUR,0,hay boutare laâine ,LQLIAA,0668468255,............,R-chahrour@gmail.com,Sous - Massa - Draa,Inzegane Ait Melloul,Lqliaa
AJYAL SOUS,0,,LQLIAA,,,IDELEG@YAHOO.FR,Sous - Massa - Draa,Inzegane Ait Melloul,Lqliaa
SOuSS ALALIMA,0,souss alalima,LQLIAA,0528311904,,ideleg@yahoo.fr,Sous - Massa - Draa,Inzegane Ait Melloul,Lqliaa
iqrae essalam,0,av: my ismail N: 13 ,erfoud,0535578923,0535578923,iqraeessalam@gmail.com,Meknès - Tafilalet,Errachidia,Arfoud (M)
yasmine,0,,jorf melha,0537990143,,groupeyassamine@yahoo.fr,Gharb - Chrarda - Beni Hssen,Sidi Kacem,Jorf El Melha (M)
yasmine 1,0,,jorf melha,,0537990143,groupeyassamine@yahoo.fr,Gharb - Chrarda - Beni Hssen,Sidi Kacem,Jorf El Melha (M)
Madaris mdaghri safoua,0,lotissement riad 1349,sidi kacem,0537596902,,safoua1349@hotmail.fr,Gharb - Chrarda - Beni Hssen,Sidi Kacem,Sidi kacem (M)
Driss chraibi,0,rue des neuflirs n°4 ain sebaa,casablanca,0522352828,,etab.alghossainate@yahoo.fr,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
moliere 2,0,Angle rue bertrandon et rue ibn ammar,casablanca,0522619105,0522615330,institutmoliere@yahoo.fr,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Hay Mohammadi (AR)
boukmakh,0,,guercif,0535200094,,ecoleboukmakh@gmail.com,Taza  - Al Hoceima - Taounate,Guercif,Guercif (M)
afaq 2,0,hay mly youssef lot esmailia n°11,taza,0612123739,,afaq09@yahoo.fr,Taza  - Al Hoceima - Taounate,Taza,Taza (M)
"majmouat madariss "" jean piaget """,0,villa 31 bloc 9 massira 2 taza,taza,0535210159,0535210159,jean-piaget-school@hotmail.com,Taza  - Al Hoceima - Taounate,Taza,Taza (M)
al haçad 2,0,souani 4 N° 19,tanger,0539316973,,knocks@live.fr,Tanger - Tetouan,Tanger Assilah,Charf_Souani (AR)
assanabil,0,av.moulay rachid route de rabat,tanger,0539381234,0539316397,ecole_assanabil@menara.ma,Tanger - Tetouan,Tanger Assilah,Tanger_Medina (AR)
groupe scolaire sidk walkitab,0,Rue Sanhaj Av My Youssef (ex- rue andaloussi-,tanger,0539323285,0539323275,sikwalkitab@live.fr,Tanger - Tetouan,Tanger Assilah,Tanger_Medina (AR)
le bon rève,0,lot anissa avmokhtar bakkali n 18,assilah,0671273644,,lebonreve@live.fr,Tanger - Tetouan,Tanger Assilah,Assilah (M)
al miza,0,hay enzaha Rue chekh moulay arbi alaoui N°27,tanger,0539944170,,almiza@live.fr,Tanger - Tetouan,Tanger Assilah,Charf_Mghogha (AR)
TAJANI,0,ZAHR 3.N 28_29 ZOUBEIR,CASABLANCA-hAY HASSANI ,0522890271,,freeline_2007@hotmail.com,Grand Casablanca,Hay Hassani,Hay Hassani (AR)
les jardins de oued fes ,0,,fes,0535750027,,eCOLE.LESJARDINS@YAHOO.FR,Fès - Boulmane,Fès,El Mariniyine (AR)
GROUPE SCOLAIRE LE MONDE de la competence,0,"146, Boulevard oued loukous, el oulfa",CASABLANCA,0522894009,,lacompetance@menara.ma,Grand Casablanca,Hay Hassani,Hay Hassani (AR)
NOUR EL WAFAA,0,,CASABLANCA,0522729725,,w.mar@voila.fr,Grand Casablanca,Sidi Bernoussi,Sidi Moumen (AR)
nouvelle ére,0,,tanger,0539300613,,yassir1208@hotmail.fr,Tanger - Tetouan,Tanger Assilah,Charf_Mghogha (AR)
Groupe scolaire AL AMAL AL JADID,0,avennue c azemmour,azemmour,0523347872,,azizlotfi@yahoo.fr,Doukala - Abda,El Jadida,Azemmour (M)
zahias scool,0,,el jadida,0523340821,,aziz1026@yahoo.fr,Doukala - Abda,El Jadida,El Jadida (M)
HIBA AL AMINE,0,lotissemen zhar sidi maarouf,CASABLANCA,0526650226,,hiba.alamine@gmail.com,Grand Casablanca,Ain Chok,Ain Chock (AR)
complexe educatif aljazira,0,rue de souk elhoboub,OUED ZEM,0523411467,,elgamrani@yahoo.fr,Chaouia - Ourdigha,Khouribga,Oued Zem (M)
َُESSAOUSSANE,0,,Khouribga,0523499305,,ZARFAOUINOUR@yahoo.fr,Chaouia - Ourdigha,Khouribga,Khouribga (M)
CHARIFA,0,lote1 douar elain tasoultant s.y.b.a,MARRAKECH,0524404400,,EPCHARIFAMKC@HOTMAIL.FR,Marrakech - Tensift - Al Haouz,Marrakech,Ménara (AR)
wahat ezzaytoune 2,0,mhamid 9,MARRAKECH,0524373870,0524373871,Contact@groupescolaire-wahatezzaitoune.com,Marrakech - Tensift - Al Haouz,Marrakech,Ménara (AR)
MANHAL TALIB,0,,MARRAKECH,,,GJKHJK@YAHOO.FR,Marrakech - Tensift - Al Haouz,Marrakech,Ménara (AR)
NIDAL,0,N° 94 Massira 1 d marrakech,MARRAKECH,0524346834,0524343990,etabnidal@hotmail.com,Marrakech - Tensift - Al Haouz,Marrakech,Ménara (AR)
CPGE PRIVE IBN EL BENNA,0,103 lot sakar,MARRAKECH,0524309952,0524309952,f.iBNALBANNA@gMAIL.COM,Marrakech - Tensift - Al Haouz,Marrakech,Gueliz (AR)
MARRAKECH PREPAS,0,almassira 1-a-  N°188,MARRAKECH,0524343009,0524343010,mprepa@menara.ma,Marrakech - Tensift - Al Haouz,Marrakech,Gueliz (AR)
AYA ASMIR,0,,M DIQ ,0534459213,,aya.Asmir@yahoo.fr,Tanger - Tetouan,M'diq Fnidaq,M'Diq (M)
S/S EL KAFAA,0,99 zone indutriel be ahmed,BEN AHMED,0523409923,,TEST@YAHOO.FR,Chaouia - Ourdigha,Settat,Ben Ahmed (M)
riad al hikma,0,153 Amal 2,tit mellil,0522511148,,alhikma09@gmail.com,Grand Casablanca,Mediouna,Tit Mellil (M)
RAYANE,0,DERB SIDI LAHCEN N°85,MEKNES,0674367861,,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
assaida fatimzahra,0,hay essalam zaio   nador,zaio,0536339155,,a.zzahrae@live.fr,l'Oriental,Nador,Zaio (M)
NOUR AL FAJR,0,,MEKNES,,,AA@YAHOO.FR,Meknès - Tafilalet,Meknes,Al Ismailia (M)
ALJAMAI,0,,MEKNES,,,AA@YAHOO.FR,Meknès - Tafilalet,Meknes,Al Ismailia (M)
al manbaa,0,hay al qods laruit,al aroui,,,almanbaa@yahoo.fr,l'Oriental,Nador,Al Aaroui (M)
cerises 2,1,N°47 bloc 1 rfaif,sefrou,0662225186,,PAS_Email@yahoo.fr,Fès - Boulmane,Sefrou,Sefrou (M)
al birouni,0,157 route de fes - sefrou,sefrou,0535660931,,pas_email@yahoo.fr,Fès - Boulmane,Sefrou,Sefrou (M)
le jasmin 2,1,route fes 131 jnane essouhoub hay el wahda,sefrou,0535969303,0535682900,ECOLE.JASMIN96@yahoo.fr,Fès - Boulmane,Sefrou,Sefrou (M)
louqmane alhakim 2,0,hay mascour,el menzel,0535667039,,Pas_email@yahoo.fr,Fès - Boulmane,Sefrou,El Menzel (M)
groupe scolaire farraday,0,"lot ""e""; hay essalam",benslimane,0523297422,0523297422,,Chaouia - Ourdigha,Benslimane,Ben Slimane (M)
Fayçal school,0,lot rmall 2 n° 14 c3 inzegan,inezgane,0528837366,0528834860,INFOFAYSCHOOL@GMAIL.COM,Sous - Massa - Draa,Inzegane Ait Melloul,Inezgane (M)
lokman alhakim,0,quartier alqods n°43,kasba tadla,05234449857,,lokman_al@gmail.com,Tadla - Azilal,Beni Mellal,Kasba Tadla (M)
ALHARF ALARABI,0,CITE ADMINISTRATIVE CENTRECOMMUNESIDI ISSA,SOUK SEBT,0662656780,,si_mo_vic@hotmail.fr,Tadla - Azilal,Fkih ben salah,Souk Sebt Ouled Nemma (M)
annajah,0,,fquih ben salah,,,annajah@gmail.com,Tadla - Azilal,Fkih ben salah,Fquih Ben Salah (M)
boufatima,0,,FQUIH BEN SALAH,,,BOUFATIMA@GMAIL.COM,Tadla - Azilal,Fkih ben salah,Fquih Ben Salah (M)
el kheir,0,el houda avenue baghdad villa83,BENI-MELLAL,0679061801,,el kheir@GMAIL.COM,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
waladi,0,,benimellal,,,waladi_bm@yahoo.fr,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
achourouk,0,,beni-mellal,,,achourouk@gmail.com,Tadla - Azilal,Beni Mellal,El Ksiba (M)
itilaf,0,,benimellal,,,iti_bm@gmail.com,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
mama mouna,0,villa 734 riad essalam ,beni-mellal,0523482267,,mama_ma@gmail.com,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
ALIRTIQAA,0,5 LOT ACHIFAA OUMDHAR,beni-mellal,0527924584,,irti_bm@gmail.com,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
rissalat al houda,0,,el aioun,0536693323,0536693332,rissalathouda@yahoo.fr,l'Oriental,Taourirt,El Aioun Sidi Mellouk (M)
ecole verte,0,HADIKA ZC 12 OUED FES ,fes,0535756170,,fes.etab@yahoo.fr,Fès - Boulmane,Fès,El Mariniyine (AR)
NASSIRI,0,diyar  almadina n°320 RUE 30,TAFRAOUT,0527504786,,ASSOU.SAT1@HOTMAIL.FR,Sous - Massa - Draa,Tiznit,Tafraout (M)
